"playerID","yearID","stint","teamID","lgID","W","L","G","GS","CG","SHO","SV","IPouts","H","ER","HR","BB","SO","BAOpp","ERA","IBB","WP","HBP","BK","BFP","GF","R","SH","SF","GIDP"
"aberal01",1950,1,"CLE","AL",1,0,1,1,1,0,0,27,5,2,0,4,4,0.16,2.00,,0,0,0,34,0,2,,,
"aberal01",1953,1,"CLE","AL",1,1,6,0,0,0,0,18,6,5,0,9,4,0.24,7.50,,0,0,0,35,2,6,,,
"aberal01",1953,2,"DET","AL",4,3,17,10,2,0,0,200,63,33,3,41,34,0.26,4.46,,4,0,0,290,5,35,,,
"aberal01",1954,1,"DET","AL",5,11,32,18,4,0,3,374,121,55,8,40,54,0.25,3.97,,0,3,0,528,6,63,,,
"aberal01",1955,1,"DET","AL",6,3,39,1,0,0,3,240,86,30,9,28,37,0.27,3.38,1,1,0,0,346,22,32,,,
"aberal01",1956,1,"DET","AL",4,4,42,0,0,0,7,189,65,24,1,25,21,0.27,3.43,6,2,2,0,281,28,30,,,
"aberal01",1957,1,"DET","AL",3,3,28,0,0,0,1,111,46,28,6,11,15,0.31,6.81,3,0,1,0,167,13,33,,,
"aberal01",1957,2,"KC1","AL",0,0,3,0,0,0,0,9,6,4,2,2,0,0.40,12.00,0,1,0,0,17,0,4,,,
"abernbi01",1952,1,"CLE","AL",0,0,1,0,0,0,1,6,4,3,1,1,0,0.44,13.50,,0,0,0,10,1,3,,,
"abernte01",1942,1,"PHA","AL",0,0,1,0,0,0,0,8,2,3,0,3,1,0.22,10.13,,1,0,0,12,0,3,,,
"abernte01",1943,1,"PHA","AL",0,3,5,2,1,0,0,44,24,21,0,13,10,0.35,12.89,,0,0,0,82,2,22,,,
"abernte01",1944,1,"PHA","AL",0,0,1,0,0,0,0,9,5,1,0,1,2,0.41,3.00,,0,0,0,13,1,1,,,
"abernte02",1955,1,"WS1","AL",5,9,40,14,3,2,0,358,136,79,9,67,79,0.29,5.96,1,2,7,0,553,12,87,,,
"abernte02",1956,1,"WS1","AL",1,3,5,4,2,0,0,91,35,14,2,10,18,0.29,4.15,0,0,1,0,132,0,16,,,
"abernte02",1957,1,"WS1","AL",2,10,26,16,2,0,0,255,100,64,9,65,50,0.31,6.78,1,1,4,2,398,4,65,,,
"abernte02",1960,1,"WS1","AL",0,0,2,0,0,0,0,9,4,4,0,4,1,0.30,12.00,0,0,0,0,17,0,4,,,
"abernte02",1963,1,"CLE","AL",7,2,43,0,0,0,12,178,54,19,3,29,47,0.25,2.88,6,4,0,0,249,33,25,,,
